date,RKI reporting date,cases cumulative,cases,deaths cumulative,deaths,case fatility rate (CFR),non-deceased reported cases,cases (mean of ±3 days),deaths (mean of ±3 days),R0 by cases (mean of ±3 days),daily proportionate increase of cases (mean of ±3 days),cases last 7 days,deaths last 7 days,"7 day incidence per 100,000 inhabitants","7 day incidence (by cases (mean of ±3 days)) per 100,000 inhabitants","7 day deaths per 1,000,000 inhabitants","7 day deaths (by cases (mean of ±3 days)) per 1,000,000 inhabitants","cases (mean of ±3 days) by reference date (start of illness, alternatively reporting date)","deaths (mean of ±3 days) by reference date (start of illness, alternatively reporting date)",cases (mean of ±3 days) by reporting date,deaths (mean of ±3 days) by reporting date,"7 day incidence per 100,000 inhabitants by reporting date (RKI version)","7 day incidence (by cases (mean of ±3 days)) per 100,000 inhabitants by reporting date (RKI version)",R value by cases (mean of ±3 days),cases last 365 days,deaths last 365 days,cases with reported start of illness (mean of ±3 days),R value by cases with reported start of illness (mean of ±3 days),"cases by reference date (start of illness, alternatively reporting date)",cases by reporting date,"new reported cases by reference date (start of illness, alternatively reporting date)",new reported cases by reporting date,"deaths by reference date (start of illness, alternatively reporting date)",deaths by reporting date,"new reported deaths by reference date (start of illness, alternatively reporting date)",new reported deaths by reporting date,new reported cases with known start of illness,new reported cases with unknown start of illness (reporting date),new reported deaths with known start of illness,new reported deaths with unknown start of illness (reporting date),cases with reported start of illness,cases with unknown start of illness (reporting date),deaths with reported start of illness,deaths with unknown start of illness (reporting date)
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,15.0,,,,,,,,,,,,15.0,,,
2020-01-02,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,14.0,1.0,,,,,,,,,,,13.0,1.0,,
2020-01-03,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,17.0,,,,1.0,,,,,,,,17.0,,1.0,
2020-01-04,,,,,,,,,,,,,,,,,,14.571428571428571,,,,,,,0.0,0.0,14.428571428571429,,19.0,,,,1.0,,,,,,,,19.0,,1.0,
2020-01-05,,,,,,,,,,,,,,,,,,13.428571428571429,,,,,,,0.0,0.0,13.285714285714286,,18.0,,,,,,,,,,,,18.0,,,
2020-01-06,,,,,,,,,,,,,,,,,,12.428571428571429,,,,,,,0.0,0.0,12.428571428571429,,10.0,,,,,,,,,,,,10.0,,,
2020-01-07,,,,,,,,,,,,,,,,,,10.285714285714286,,,,,,,0.0,0.0,10.285714285714286,,9.0,,,,,,,,,,,,9.0,,,
2020-01-08,,,,,,,,,,,,,,,,,,8.142857142857142,,,,,,,0.0,0.0,8.142857142857142,,7.0,,,,,,,,,,,,7.0,,,
2020-01-09,,,,,,,,,,,,,,,,,,6.571428571428571,,,,,,,0.0,0.0,6.571428571428571,,7.0,,,,,,,,,,,,7.0,,,
2020-01-10,,,,,,,,,,,,,,,,,,6.285714285714286,,,,,,,0.0,0.0,6.285714285714286,,2.0,,,,1.0,,,,,,,,2.0,,1.0,
